Trail Name,Trail Location,Park,Image Path
Breakneck Ridge Trail,"Hudson Highlands State Park, New York",Hudson Highlands State Park,https://mytrails-official-backend.onrender.com/static/trail_photos/breakneck-ridge-trail.jpg
Fairyland Loop Trail,"Bryce Canyon National Park, Utah",Bryce Canyon National Park,https://mytrails-official-backend.onrender.com/static/trail_photos/fairyland-loop-trail.jpg
Mount Washington via Lion Head Trail,"White Mountains, New Hampshire",White Mountain National Forest,https://mytrails-official-backend.onrender.com/static/trail_photos/mount-washington-via-lion-head-trail.jpg
Mount Timpanogos,"Utah County, Utah",Uinta-Wasatch-Cache National Forest,https://mytrails-official-backend.onrender.com/static/trail_photos/mount-timpanogos.jpg
Zion Narrows,"Zion National Park, Utah",Zion National Park,https://mytrails-official-backend.onrender.com/static/trail_photos/zion-narrows.jpg
Black Elk Peak,"Custer State Park, South Dakota",Black Hills National Forest,https://mytrails-official-backend.onrender.com/static/trail_photos/black-elk-peak.jpg
Mount LeConte via Alum Cave Trail,"Great Smoky Mountains National Park, Tennessee",Great Smoky Mountains National Park,https://mytrails-official-backend.onrender.com/static/trail_photos/mount-leconte-via-alum-cave-trail.jpg
Mount Mansfield,"Stowe, Vermont",Mount Mansfield State Forest,https://mytrails-official-backend.onrender.com/static/trail_photos/mount-mansfield.jpg
Northville-Placid Trail,"Adirondack Park, New York",Adirondack Park,https://mytrails-official-backend.onrender.com/static/trail_photos/northville-placid-trail.jpg
Art Loeb Trail,"Pisgah National Forest, North Carolina",Pisgah National Forest,https://mytrails-official-backend.onrender.com/static/trail_photos/art-loeb-trail.jpg
Enchanted Rock Loop Trail,"Fredericksburg, Texas",Enchanted Rock State Natural Area,https://mytrails-official-backend.onrender.com/static/trail_photos/enchanted-rock-loop-trail.jpg
Ice Age National Scenic Trail,Wisconsin,Multiple Locations,https://mytrails-official-backend.onrender.com/static/trail_photos/ice-age-national-scenic-trail.jpg
Ozette Triangle Loop Trail,"Olympic National Park, Washington",Olympic National Park,https://mytrails-official-backend.onrender.com/static/trail_photos/ozette-triangle-loop-trail.jpg
Mount Tallac Trail,"El Dorado County, California",Desolation Wilderness,https://mytrails-official-backend.onrender.com/static/trail_photos/mount-tallac-trail.jpg
La Luz Trail,"Albuquerque, New Mexico",Cibola National Forest,https://mytrails-official-backend.onrender.com/static/trail_photos/la-luz-trail.jpg
Longs Peak via Keyhole Route,"Rocky Mountain National Park, Colorado",Rocky Mountain National Park,https://mytrails-official-backend.onrender.com/static/trail_photos/longs-peak-via-keyhole-route.jpg
Precipice Trail,"Acadia National Park, Maine",Acadia National Park,https://mytrails-official-backend.onrender.com/static/trail_photos/precipice-trail.jpg
Saddleback Mountain via Appalachian Trail,"Rangeley, Maine",Appalachian Trail,https://mytrails-official-backend.onrender.com/static/trail_photos/saddleback-mountain-via-appalachian-trail.jpg
Barr Trail,"Manitou Springs, Colorado",Pike National Forest,https://mytrails-official-backend.onrender.com/static/trail_photos/barr-trail.jpg
